Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Pawpaw,Lg Box,54,KES1473.00,4/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2287.00,4/1/2013 0:00
Horticulture,Kales,Bag,50,KES848.00,4/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES4090.00,5/1/2013 0:00
Horticulture,Kales,Bag,50,KES1277.00,5/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2705.00,5/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1777.00,5/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES754.00,5/1/2013 0:00
Horticulture,Limes,net,13,KES683.00,5/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1079.00,5/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2420.00,5/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2112.00,5/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2893.00,5/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES3923.00,5/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES3553.00,5/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1700.00,5/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2663.00,5/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES2268.00,5/1/2013 0:00
Horticulture,Chillies,Bag,38,KES3105.00,5/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES2571.00,5/1/2013 0:00
Horticulture,Onions Dry,net,13,KES967.00,5/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES5596.00,5/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES3318.00,5/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES625.00,5/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES618.00,5/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES2058.00,5/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES541.00,6/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES583.00,6/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES3647.00,6/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES4037.00,6/1/2013 0:00
Horticulture,Onions Dry,net,13,KES1147.00,6/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES2480.00,6/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2973.00,6/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES1946.00,6/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES3031.00,6/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1720.00,6/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES3490.00,6/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES2465.00,6/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3748.00,6/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES4041.00,6/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2674.00,6/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2085.00,6/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2078.00,6/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES915.00,6/1/2013 0:00
Horticulture,Limes,net,13,KES443.00,6/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES700.00,6/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1511.00,6/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2097.00,6/1/2013 0:00
Horticulture,Kales,Bag,50,KES1626.00,6/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES2326.00,7/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES518.00,7/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES578.00,7/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES3553.00,7/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES2786.00,7/1/2013 0:00
Horticulture,Onions Dry,net,13,KES957.00,7/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES2318.00,7/1/2013 0:00
Horticulture,Chillies,Bag,38,KES3251.00,7/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES2505.00,7/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2767.00,7/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1851.00,7/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES2333.00,7/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3246.00,7/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES3740.00,7/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2718.00,7/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2023.00,7/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2208.00,7/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1064.00,7/1/2013 0:00
Horticulture,Limes,net,13,KES507.00,7/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES688.00,7/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1609.00,7/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2202.00,7/1/2013 0:00
Horticulture,Kales,Bag,50,KES1556.00,7/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES2099.00,8/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES2433.00,8/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES500.00,8/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES553.00,8/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES3469.00,8/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES2653.00,8/1/2013 0:00
Horticulture,Onions Dry,net,13,KES894.00,8/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES1820.00,8/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2321.00,8/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES2323.00,8/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES3077.00,8/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1705.00,8/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3553.00,8/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES4518.00,8/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2878.00,8/1/2013 0:00
Horticulture,Lemons,Bag,95,KES1889.00,8/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2255.00,8/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1257.00,8/1/2013 0:00
Horticulture,Limes,net,13,KES645.00,8/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES710.00,8/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1411.00,8/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2031.00,8/1/2013 0:00
Horticulture,Kales,Bag,50,KES1257.00,8/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES2350.00,9/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES510.00,9/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES568.00,9/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES4340.00,9/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES2446.00,9/1/2013 0:00
Horticulture,Onions Dry,net,13,KES862.00,9/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES1950.00,9/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2353.00,9/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES1784.00,9/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2846.00,9/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1763.00,9/1/2013 0:00
Horticulture,Kales,Bag,50,KES1086.00,9/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES1901.00,9/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3205.00,9/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES3728.00,9/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2956.00,9/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2077.00,9/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2688.00,9/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1262.00,9/1/2013 0:00
Horticulture,Limes,net,13,KES771.00,9/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES711.00,9/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1562.00,9/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2070.00,9/1/2013 0:00
Horticulture,Oranges,Bag,93,KES3104.00,10/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES1992.00,10/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES513.00,10/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES565.00,10/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES4390.00,10/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES2862.00,10/1/2013 0:00
Horticulture,Onions Dry,net,13,KES845.00,10/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES1978.00,10/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2325.00,10/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES2259.00,10/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2515.00,10/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1657.00,10/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES1964.00,10/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3044.00,10/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES3572.00,10/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2292.00,10/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2259.00,10/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1200.00,10/1/2013 0:00
Horticulture,Limes,net,13,KES990.00,10/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES797.00,10/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1466.00,10/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2307.00,10/1/2013 0:00
Horticulture,Kales,Bag,50,KES849.00,10/1/2013 0:00
Horticulture,Kales,Bag,50,KES1013.00,11/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES1965.00,11/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES519.00,11/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES588.00,11/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES4043.00,11/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES3141.00,11/1/2013 0:00
Horticulture,Onions Dry,net,13,KES844.00,11/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES2084.00,11/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2349.00,11/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES2094.00,11/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2219.00,11/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1636.00,11/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES2067.00,11/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES4072.00,11/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES4129.00,11/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2967.00,11/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2560.00,11/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES2034.00,11/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2672.00,11/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1082.00,11/1/2013 0:00
Horticulture,Limes,net,13,KES902.00,11/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES826.00,11/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1507.00,11/1/2013 0:00
Horticulture,Kales,Bag,50,KES953.00,12/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,KES3498.00,12/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,KES2897.00,12/1/2013 0:00
Horticulture,Onions Dry,net,13,KES862.00,12/1/2013 0:00
Horticulture,Spring Onions,Bag,142,KES1755.00,12/1/2013 0:00
Horticulture,Chillies,Bag,38,KES2357.00,12/1/2013 0:00
Horticulture,Cucumber,Bag,50,KES1843.00,12/1/2013 0:00
Horticulture,Capsicums,Bag,50,KES2195.00,12/1/2013 0:00
Horticulture,Brinjals,Bag,44,KES1471.00,12/1/2013 0:00
Horticulture,Cauliflower,crate,39,KES2373.00,12/1/2013 0:00
Horticulture,Lettuce,Bag,51,KES3571.00,12/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,KES3500.00,12/1/2013 0:00
Horticulture,Oranges,Bag,93,KES2556.00,12/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES638.00,12/1/2013 0:00
Horticulture,Lemons,Bag,95,KES2569.00,12/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,KES1872.00,12/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1085.00,12/1/2013 0:00
Horticulture,Limes,net,13,KES776.00,12/1/2013 0:00
Horticulture,Pineapples,Dozen,13,KES824.00,12/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,KES1498.00,12/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES521.00,12/1/2013 0:00
Horticulture,Avocado,Bag,90,KES2303.00,12/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,KES1728.00,12/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES473.00,1/1/2015 0:00
Horticulture,Cabbages,Ext Bag,126,KES2245.00,1/1/2015 0:00
Horticulture,Kales,Bag,50,KES1227.00,1/1/2015 0:00
Horticulture,Avocado,Bag,90,KES2379.00,1/1/2015 0:00
Horticulture,Pawpaw,Lg Box,54,KES1563.00,1/1/2015 0:00
Horticulture,Pineapples,Dozen,13,KES796.00,1/1/2015 0:00
Horticulture,Limes,net,13,KES648.00,1/1/2015 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1170.00,1/1/2015 0:00
Horticulture,Mangoes Local,Bag,126,KES1963.00,1/1/2015 0:00
Horticulture,Lemons,Bag,95,KES2540.00,1/1/2015 0:00
Horticulture,Oranges,Bag,93,KES3795.00,1/1/2015 0:00
Horticulture,Passion Fruits,Bag,57,KES4037.00,1/1/2015 0:00
Horticulture,Lettuce,Bag,51,KES2192.00,1/1/2015 0:00
Horticulture,Cauliflower,crate,39,KES2091.00,1/1/2015 0:00
Horticulture,Brinjals,Bag,44,KES1786.00,1/1/2015 0:00
Horticulture,Capsicums,Bag,50,KES2978.00,1/1/2015 0:00
Horticulture,Cucumber,Bag,50,KES1810.00,1/1/2015 0:00
Horticulture,Chillies,Bag,38,KES2624.00,1/1/2015 0:00
Horticulture,Spring Onions,Bag,142,KES1836.00,1/1/2015 0:00
Horticulture,Onions Dry,net,13,KES813.00,1/1/2015 0:00
Horticulture,Tomatoes,Lg Box,64,KES4097.00,1/1/2015 0:00
Horticulture,Carrots,Ext Bag,138,KES2840.00,1/1/2015 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES568.00,1/1/2015 0:00
Horticulture,Mangoes Local,Bag,126,KES2201.00,2/1/2015 0:00
Horticulture,Chillies,Bag,38,KES2816.00,2/1/2015 0:00
Horticulture,Capsicums,Bag,50,KES2922.00,2/1/2015 0:00
Horticulture,Cabbages,Ext Bag,126,KES2335.00,2/1/2015 0:00
Horticulture,Limes,net,13,KES688.00,2/1/2015 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1051.00,2/1/2015 0:00
Horticulture,Oranges,Bag,93,KES3384.00,2/1/2015 0:00
Horticulture,Brinjals,Bag,44,KES2126.00,2/1/2015 0:00
Horticulture,Kales,Bag,50,KES2076.00,2/1/2015 0:00
Horticulture,Tomatoes,Lg Box,64,KES4455.00,2/1/2015 0:00
Horticulture,Carrots,Ext Bag,138,KES3134.00,2/1/2015 0:00
Horticulture,Spring Onions,Bag,142,KES1585.00,2/1/2015 0:00
Horticulture,Cucumber,Bag,50,KES2568.00,2/1/2015 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES615.00,2/1/2015 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES527.00,2/1/2015 0:00
Horticulture,Pawpaw,Lg Box,54,KES2005.00,2/1/2015 0:00
Horticulture,Lemons,Bag,95,KES2452.00,2/1/2015 0:00
Horticulture,Lettuce,Bag,51,KES2555.00,2/1/2015 0:00
Horticulture,Onions Dry,net,13,KES840.00,2/1/2015 0:00
Horticulture,Passion Fruits,Bag,57,KES4008.00,2/1/2015 0:00
Horticulture,Pineapples,Dozen,13,KES751.00,2/1/2015 0:00
Horticulture,Avocado,Bag,90,KES2204.00,2/1/2015 0:00
Horticulture,Cauliflower,crate,39,KES2566.00,2/1/2015 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES571.00,3/1/2015 0:00
Horticulture,Cabbages,Ext Bag,126,KES2684.00,3/1/2015 0:00
Horticulture,Pawpaw,Lg Box,54,KES1922.00,3/1/2015 0:00
Horticulture,Avocado,Bag,90,KES2155.00,3/1/2015 0:00
Horticulture,Carrots,Ext Bag,138,KES3634.00,3/1/2015 0:00
Horticulture,Chillies,Bag,38,KES3019.00,3/1/2015 0:00
Horticulture,Onions Dry,net,13,KES975.00,3/1/2015 0:00
Horticulture,Mangoes Local,Bag,126,KES2525.00,3/1/2015 0:00
Horticulture,Brinjals,Bag,44,KES2072.00,3/1/2015 0:00
Horticulture,Cauliflower,crate,39,KES2913.00,3/1/2015 0:00
Horticulture,Oranges,Bag,93,KES3357.00,3/1/2015 0:00
Horticulture,Kales,Bag,50,KES2359.00,3/1/2015 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1055.00,3/1/2015 0:00
Horticulture,Limes,net,13,KES757.00,3/1/2015 0:00
Horticulture,Passion Fruits,Bag,57,KES4137.00,3/1/2015 0:00
Horticulture,Tomatoes,Lg Box,64,KES4504.00,3/1/2015 0:00
Horticulture,Spring Onions,Bag,142,KES1792.00,3/1/2015 0:00
Horticulture,Capsicums,Bag,50,KES3009.00,3/1/2015 0:00
Horticulture,Lemons,Bag,95,KES2443.00,3/1/2015 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES553.00,3/1/2015 0:00
Horticulture,Lettuce,Bag,51,KES2585.00,3/1/2015 0:00
Horticulture,Pineapples,Dozen,13,KES756.00,3/1/2015 0:00
Horticulture,Cucumber,Bag,50,KES2384.00,3/1/2015 0:00
Horticulture,Cabbages,Ext Bag,126,KES2967.00,4/1/2015 0:00
Horticulture,Pineapples,Dozen,13,KES782.00,4/1/2015 0:00
Horticulture,Spring Onions,Bag,142,KES2059.00,4/1/2015 0:00
Horticulture,Cauliflower,crate,39,KES3375.00,4/1/2015 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES550.00,4/1/2015 0:00
Horticulture,Avocado,Bag,90,KES2210.00,4/1/2015 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES1106.00,4/1/2015 0:00
Horticulture,Capsicums,Bag,50,KES2508.00,4/1/2015 0:00
Horticulture,Cucumber,Bag,50,KES2145.00,4/1/2015 0:00
Horticulture,Kales,Bag,50,KES2006.00,4/1/2015 0:00
Horticulture,Chillies,Bag,38,KES2968.00,4/1/2015 0:00
Horticulture,Carrots,Ext Bag,138,KES4497.00,4/1/2015 0:00
Horticulture,Pawpaw,Lg Box,54,KES1829.00,4/1/2015 0:00
Horticulture,Onions Dry,net,13,KES1074.00,4/1/2015 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES535.00,4/1/2015 0:00
Horticulture,Tomatoes,Lg Box,64,KES5277.00,4/1/2015 0:00
Horticulture,Passion Fruits,Bag,57,KES4365.00,4/1/2015 0:00
Horticulture,Mangoes Local,Bag,126,KES2407.00,4/1/2015 0:00
Horticulture,Lettuce,Bag,51,KES3124.00,4/1/2015 0:00
Horticulture,Brinjals,Bag,44,KES1803.00,4/1/2015 0:00
Horticulture,Limes,net,13,KES986.00,4/1/2015 0:00
Horticulture,Oranges,Bag,93,KES3216.00,4/1/2015 0:00
Horticulture,Lemons,Bag,95,KES2611.00,4/1/2015 0:00
Horticulture,Cauliflower,crate,39,KES3338.00,5/1/2015 0:00
Horticulture,Kales,Bag,50,KES1229.00,5/1/2015 0:00
Horticulture,Lettuce,Bag,51,KES2964.00,5/1/2015 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES550.00,5/1/2015 0:00
Horticulture,Passion Fruits,Bag,57,KES4492.00,5/1/2015 0:00
Horticulture,Pawpaw,Lg Box,54,KES1683.00,5/1/2015 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES930.00,5/1/2015 0:00
Horticulture,Mangoes Local,Bag,126,KES2315.00,5/1/2015 0:00
Horticulture,Oranges,Bag,93,KES3261.00,5/1/2015 0:00
Horticulture,Capsicums,Bag,50,KES2072.00,5/1/2015 0:00
Horticulture,Cucumber,Bag,50,KES2031.00,5/1/2015 0:00
Horticulture,Lemons,Bag,95,KES2573.00,5/1/2015 0:00
Horticulture,Pineapples,Dozen,13,KES801.00,5/1/2015 0:00
Horticulture,Brinjals,Bag,44,KES1656.00,5/1/2015 0:00
Horticulture,Spring Onions,Bag,142,KES1850.00,5/1/2015 0:00
Horticulture,Cabbages,Ext Bag,126,KES2643.00,5/1/2015 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES612.00,5/1/2015 0:00
Horticulture,Tomatoes,Lg Box,64,KES5664.00,5/1/2015 0:00
Horticulture,Onions Dry,net,13,KES1169.00,5/1/2015 0:00
Horticulture,Chillies,Bag,38,KES2131.00,5/1/2015 0:00
Horticulture,Carrots,Ext Bag,138,KES4858.00,5/1/2015 0:00
Horticulture,Avocado,Bag,90,KES2156.00,5/1/2015 0:00
Horticulture,Limes,net,13,KES1135.00,5/1/2015 0:00
Horticulture,Cauliflower,crate,39,KES2455.00,6/1/2015 0:00
Horticulture,Tomatoes,Lg Box,64,KES5128.00,6/1/2015 0:00
Horticulture,Limes,net,13,KES1051.00,6/1/2015 0:00
Horticulture,Mangoes Local,Bag,126,KES2275.00,6/1/2015 0:00
Horticulture,Chillies,Bag,38,KES2153.00,6/1/2015 0:00
Horticulture,Avocado,Bag,90,KES2166.00,6/1/2015 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES552.00,6/1/2015 0:00
Horticulture,Capsicums,Bag,50,KES2145.00,6/1/2015 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES608.00,6/1/2015 0:00
Horticulture,Pineapples,Dozen,13,KES836.00,6/1/2015 0:00
Horticulture,Carrots,Ext Bag,138,KES5715.00,6/1/2015 0:00
Horticulture,Lemons,Bag,95,KES2387.00,6/1/2015 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES963.00,6/1/2015 0:00
Horticulture,Pawpaw,Lg Box,54,KES1688.00,6/1/2015 0:00
Horticulture,Passion Fruits,Bag,57,KES4675.00,6/1/2015 0:00
Horticulture,Cabbages,Ext Bag,126,KES2179.00,6/1/2015 0:00
Horticulture,Oranges,Bag,93,KES3193.00,6/1/2015 0:00
Horticulture,Cucumber,Bag,50,KES1624.00,6/1/2015 0:00
Horticulture,Lettuce,Bag,51,KES2110.00,6/1/2015 0:00
Horticulture,Brinjals,Bag,44,KES1498.00,6/1/2015 0:00
Horticulture,Onions Dry,net,13,KES1259.00,6/1/2015 0:00
Horticulture,Spring Onions,Bag,142,KES1798.00,6/1/2015 0:00
Horticulture,Kales,Bag,50,KES1197.00,6/1/2015 0:00
Horticulture,Brinjals,Bag,44,KES1511.00,7/1/2015 0:00
Horticulture,Passion Fruits,Bag,57,KES4582.00,7/1/2015 0:00
Horticulture,Cauliflower,crate,39,KES2902.00,7/1/2015 0:00
Horticulture,Spring Onions,Bag,142,KES1797.00,7/1/2015 0:00
Horticulture,Mangoes Local,Bag,126,KES2185.00,7/1/2015 0:00
Horticulture,Ripe Bananas,Med Bunch,14,KES529.00,7/1/2015 0:00
Horticulture,Cooking Bananas,Med Bunch,22,KES589.00,7/1/2015 0:00
Horticulture,Cucumber,Bag,50,KES2159.00,7/1/2015 0:00
Horticulture,Capsicums,Bag,50,KES2283.00,7/1/2015 0:00
Horticulture,Limes,net,13,KES959.00,7/1/2015 0:00
Horticulture,Chillies,Bag,38,KES1955.00,7/1/2015 0:00
Horticulture,Cabbages,Ext Bag,126,KES1610.00,7/1/2015 0:00
Horticulture,Kales,Bag,50,KES1175.00,7/1/2015 0:00
Horticulture,Onions Dry,net,13,KES1032.00,7/1/2015 0:00
Horticulture,Avocado,Bag,90,KES2070.00,7/1/2015 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,KES992.00,7/1/2015 0:00
Horticulture,Pawpaw,Lg Box,54,KES1823.00,7/1/2015 0:00
Horticulture,Tomatoes,Lg Box,64,KES3969.00,7/1/2015 0:00
Horticulture,Oranges,Bag,93,KES3348.00,7/1/2015 0:00
Horticulture,Carrots,Ext Bag,138,KES4490.00,7/1/2015 0:00
Horticulture,Lettuce,Bag,51,KES2476.00,7/1/2015 0:00
Horticulture,Pineapples,Dozen,13,KES757.00,7/1/2015 0:00
Horticulture,Lemons,Bag,95,KES2455.00,7/1/2015 0:00
Cereals,Dry Maize,Bag,90,KES2832.00,1/1/2013 0:00
Cereals,Green Maize,Ext Bag,115,KES2471.00,1/1/2013 0:00
Cereals,Finger Millet,Bag,90,KES6012.00,1/1/2013 0:00
Cereals,Sorghum,Bag,90,KES3306.00,1/1/2013 0:00
Cereals,Wheat,Bag,90,KES4058.00,1/1/2013 0:00
Legumes,Beans Canadian,Bag,90,KES5729.00,1/1/2013 0:00
Legumes,Beans Rosecoco,Bag,90,KES5498.00,1/1/2013 0:00
Legumes,Beans Mwitemania,Bag,90,KES5132.00,1/1/2013 0:00
Legumes,Mwezi Moja,Bag,90,KES5512.00,1/1/2013 0:00
Legumes,Dolichos (Njahi),Bag,90,KES7383.00,1/1/2013 0:00
Legumes,Green Gram,Bag,90,KES6784.00,1/1/2013 0:00
Legumes,Cowpeas,Bag,90,KES5053.00,1/1/2013 0:00
Legumes,Fresh Peas,Bag,51,KES2817.00,1/1/2013 0:00
Legumes,Groundnuts,Bag,110,KES10679.00,1/1/2013 0:00
Roots & Tubers,Red Irish Potatoes,Bag,110,KES2969.00,1/1/2013 0:00
Roots & Tubers,White Irish Potatoes,Bag,110,KES3007.00,1/1/2013 0:00
Roots & Tubers,Cassava Fresh,Bag,99,KES1735.00,1/1/2013 0:00
Roots & Tubers,Sweet Potatoes,Bag,98,KES2526.00,1/1/2013 0:00
Cereals,Dry Maize,Bag,90,KES2857.00,2/1/2013 0:00
Cereals,Green Maize,Ext Bag,115,KES2963.00,2/1/2013 0:00
Cereals,Finger Millet,Bag,90,KES6213.00,2/1/2013 0:00
Cereals,Sorghum,Bag,90,KES3626.00,2/1/2013 0:00
Cereals,Wheat,Bag,90,KES4071.00,2/1/2013 0:00
Legumes,Beans Canadian,Bag,90,KES5643.00,2/1/2013 0:00
Legumes,Beans Rosecoco,Bag,90,KES5390.00,2/1/2013 0:00
Legumes,Beans Mwitemania,Bag,90,KES5226.00,2/1/2013 0:00
Legumes,Mwezi Moja,Bag,90,KES5261.00,2/1/2013 0:00
Legumes,Dolichos (Njahi),Bag,90,KES7875.00,2/1/2013 0:00
Legumes,Green Gram,Bag,90,KES7340.00,2/1/2013 0:00
